,Name,Address,Website,Contact,Email,VC,VC_Phone,REG,REG_Phone
23,Visva Bharati,Shantiniketan      West Bengal - 731235 ,http://www.visva-bharati.ac.in,91(3463)262751 to 262756 (6 lines)   91(3463)262672,,Prof. Sushanta Dattagupta,(3463) 262 751,Dr. D. Gunasekaran,(91)(3463)261531
24,Hemwati Nandan Bahuguna Garhwal University,Srinagar  Garhwal     Uttarakhand - 246 174 ,http://www.hnbgu.ac.in,01346-252143   01346 – 252247,registrar.hnbgu@gmail.com,Prof. Jawahar Lal Kaul ,01346-250260,Prof. P.S. Rana (Offg.),01346-252143
25,Central university of Tamil Nadu,C/O. Collectorate Annexe   Tiruvarur     Tamil Nadu - 610001 ,http://www.tiruvarur.in.nic.in/cutn/,+91 4366 220311   +91 4366 225312,psvc@cutn.ac.in/pavc@cutn.ac.in   admissions@cutn.ac.in,Prof. T. Sengadir (I/c),04366-220311,Prof. P. Ravindran (I/c),9489054275
26,Indian Maritime University,Chennai      Tamil Nadu - 600119 ,http://www.imu.tn.nic.in,(044) 24530343   24530345   (044) 24530342,info@imu.co.in,Dr. P. Vijayan  ,44-24530332,Mrs. M.V. Rajeswari   IA&AS,044-24530878
27,Central University of Rajasthan ,NH-8   Bandar Sindri   Dist-Ajmer-305817     Rajasthan- 305817 ,http://www.curaj.ac.in, +91-1463-238755   ,info@curaj.ac.in,Prof. A.P. Singh (I/c),,Shri M.S. Yadav,238727
28,Central University of Punjab,City Campus   Mansa Road   Bathinda    Punjab - 151001 ,http://www.cup.ac.in   http://www.cpu.edu.in,0164-243 0586   0164-2864111    ,cu.punjab.info@gmail.com,Prof. R.K. Kohli,0164-243 0586,Prof. Jagdeep Singh,0164-2864106
29,Central University of Orissa,Sabara   Srikhetra Coats Building Koraput    Orissa - 764020 ,http://www.cuo.ac.in,06852-288200   288210   06852-288225 ,info@cuo.ac.in,Prof. (Dr.) Surabhi Banerjee,0674-2748094/92,Col. (Retd.) R.S. Chauhan,0674-288235
30,Dr. Harisingh Gour Vishwavidyalaya,Sagar      Madhya Pradesh - 470003 ,http://www.dhsgsu.ac.in,07582-264796   241215   265228   264156   07582-264163/264236/264236,,Sh. R.P. Tewari,07582-264796   264163,Shri Anup K. Pujari,07582-265228
31,Central University of Kerala,Tejaswini Hills  Periye (PO)   Kasaragod (DT)   Kerala    Kerala -  671316 ,http://www.cukerala.ac.in,91 (04994-257032   ,cukgod@gmail.com,Prof. G. Gopakumar,04994-257465,Shri S. Gopinath ,2231688
32,Central University of Karnataka,2nd Floor   Karya Saudha   Gulbarga University    Gulbarga    Karnataka - 585 106 ,http://www.cuk.ac.in,08472-272057   08472-272066,cukgulbarga@gmail.com,Prof. M.N.S. Rao (I/c),08477-226702,Prof. N. Nagaraju (I/c),08477-226708
33,Central University of Jharkhand,Ratu-Lohardaga Road Brambe   Ranchi  Jharkhand   India    Jharkhand - 835 205 ,http://www.cuj.ac.in,06531-224163   06531-224163,pio@cuj.ac.in,Prof. Dr. AMARENDRA NARAYAN MISRA,6531-294160  78,Prof. S. Medhekar (/c),06531-294182
34,Central University of Kashmir,Transit Campus Sonwar (Near G.B. Pant Hospital) Srinagar    Jammu and Kashmir - 190 004 ,http://www.cukashmir.ac.in,0194-2468357  0194-2468346   0194-2468351  0194-2468354,mail@cukashmir.ac.in,Prof. Mehraj-Ud-din Mir (I/c),0194-2468351,Prof. Mohammad Afzal Zargar,0194-2468354
35,Central University of Jammu,Rahya-Suchani (Bagla) District Samba Jammu    Jammu and Kashmir - 181143 ,http://www.cujammu.ac.in,91-01923-249658   ,registrar@cujammu.ac.in,Prof. Ashok Aima,01923-249634,Dr Ravi Kumar,01923-249658
36,Central University of Himachal Pradesh,PO Box No. 21   Dharamashala Distt - Kangra     Himachal Pradesh - 176 215 ,http://www.cuhimachal.ac.in,+91-1892-229330   +91-1892-229331,vc.cuhimachal@gmail.com,Prof. Yoginder S. Verma (I/c),01892- 229330,Brig. (Retd.) J.C. Rangra,01892-229573
37,Central University of Haryana,Jant-Pali   Mahendergarh     Haryana - 123029 ,http://www.cuh.ac.in,01285-249443   0124-2350283   2350284,registrar@cuh.ac.in,Prof. R.C. Kuhad, 8222876761   01285-249333,Sh. Ram Dutt,01285-249401
38,Guru Ghasidas Vishwavidyalaya,Bilaspur Chhatisgarh     Chhattisgarh- 495009 ,http://www.ggu.ac.in,07752-260283   260351   260209   260294   07752-260148/260154,centralggu@ggu.ac.in,Professor Anjila Gupta,07752-260283,Prof.Shailendra Kumar,07752-260209    260283
39,Central University of South Bihar,Phaneeshwarnath Renu Hindi Bhawan   Chhajjubagh  Patna    Bihar - 800014 ,http://www.cub.ac.in,0612-2227600  2784106  2226538   ,,Prof. H.C.S. Rathore,0631-2229501/0631-2229502,Prof. Prabhat Kumar Singh, 0631-2229506/0631-2229507
40,Central University of Gujarat,Plot No. 95/1   Sector-2 A Gandhinagar    Gujarat - 382 007 ,http://www.cug.ac.in,079 29289056   079 23260076,info@cug.ac.in,Prof. S.A. Bari,079-23260092,Prof. N.Rajaram. (I/c),079-29288401
41,Gandhi Institute of Technology and Management (GITAM),Gandhi Nagar Campus   Rushikonda   Visakhapatman    Andhra Pradesh- 530045 ,http://www.gitam.edu/,0891-2790101   2790202   2790404   2790505   ,registrar@gitam.edu / admin@gitam.edu,Prof. K. Siva Rama Krishna,0891-2840202,Prof. K.V.G.D. Balaji,0891-2840501
42,International  Institute of Information Technology,Gachibowli Hyderabad-500 032 (A.P.)     Telangana-  ,http://www.iiit.ac.in,+91-40-6653 1000    ,query@iiit.ac.in,,,,
43,Koneru Lakshmaiah Education Foundation ,Vaddeswaram  Guntur Andhra Pradesh-522502     Andhra Pradesh-  ,http://www.kluniversity.in,0866 - 2577715   08645 - 246948,,Dr. L.S.S. Reddy,,Dr. Uma Maheshwar Rao,
44,Rashtriya Sanskrit Vidyapeeth,Tirupati - 517 507.(A.P)      Andhra Pradesh-  ,http://rsvidyapeetha.ac.in,0877-2287649   0877-2287690   0877-2288644  0877-2286686   0877-2286177   ,,Prof. Harekrishna Satpati,,Prof. P. Umashankar,0877-2286799  0877-2287649
45,Sri Sathya Sai Institute of Higher Learning ,Vidyagiri   Prasanthi Nilayam-515134 Anantapur Distt. A.P.Prasanthinilay     Andhra Pradesh-  ,http://www.sssihl.edu.in,+91 8555 287239    ,registrar@sssihl.edu.in,Prof. K. B. R. Varma,08555-289982,Dr.B.Sai Giridhar,08555-287239 / 289840
46,ICFAI Foundation for Higher Education ,Donthanpalli   Sankarpalli Road   Hyderabad   Andhra Pradesh-501504     Telangana-  ,http://www.ifheindia.org,   ,,Dr. J. Mahender Reddy,08417-236660/61/62,Mr. V.R.Shankara,08417-236660/61/62
47,Vignan's Foundation for Science   Technology and Research,Vadlamudi Guntur   Andhra Pradesh     Andhra Pradesh- 522213 ,https://vignan.ac.in/,0863-2534645  2534646  02344700   ,,Dr. M Y S Prasad,0863-2344710,Dr. M.S. Raghunathan,0863-2344715
48,North Eastern Regional Institute of Science & Technology,Nirjuli  Itanagar Arunachal Pradesh-791 109     Arunachal Pradesh -  ,http://www.nerist.ac.in,0360-2257401   0360-2257872/ 2258533,"@nerist.ernet.in,@nerist.ac.in",Prof. P.K.Das,0360-2258534,Dr. R.P. Bhattacharjee,91 360 2257446-408  Extn: 63
49,Nava Nalanda Mahavihara,Nalanda-803 111 Bihar    Bihar -  ,http://www.navanalandamahavihara.o,611-228-1672  ,nnmdirector@sify.com,Dr. R. Panth,,Dr. S.P. Sinha,
50,Punjab Engineering College,Chandigarh (U.T.) Chandigarh -160 009    Chandigarh -  ,http://www.pec.ac.in,"0172- 2753064 ,  0172-2745175","webmaster@pec.ac.in,",Dr. Manoj Datta (Director),172-2746074/ 2753051,Dr. Ashwani kumar,0172-2748197/2753055
51,Indian Agricultural Research Institute,Pusa Institute Pusa New Delhi - 110 012.    Delhi-  ,http://www.iari.res.in,  ,,,,,
52,Indain Institute of Foreigen Trade,IIFT Bhawan  B-21 Qutub- Institutional Area  N.Delhi-110 016    Delhi-  ,http://www.iift.edu,"+91-11-26965124 ,+91-11-26965051  ",,,,Prof. Ashok Kapoor,
53,Indian Law Institute ,Bhagwan Dass Road New Delhi-110001    Delhi-  ,http://www.admissionnews.com,91-11-23386321  ,ili@ili.ac.in ,,,Mr. Dalip Kumar,011- 23382190  23386321
54,Institute of liver and Biliary Sciences,D-I Vasant Kunj  New Delhi 110 070    Delhi-  ,http://www.ilbs.in/,46300000  7055  7056  26706700-02  64703890 ,,,,,
55,Jamia Hamdard,Hamdard Nagar  New Delhi - 110 062.    Delhi-  ,http://www.jamiahamdard.edu,011-26059688  ,,Prof.(Dr.) Seyed Ehtesham Hasnain,011-26059688,Mr. Syed Saud Akhtar,011-26059688
56,National Museum Institute of History of Arts  Conservation and Musicology,National Museum  Janpath New Delhi -110001    Delhi-  ,http://nmi.gov.in,+91 11 23012106  ,nmihacm@gmail.com ,Dr. Venu V,23018159  23018046,Prof. M. V. Nair,23011899  23011901
57,National Institute of Food Technology  Entrepreneurship & Management (NIFTEM),1  Bhawalpur House  Bhagwan- Plot No. 97  HSIIDC Industrial Estate Phase-IV Kundli  Sonepat   Haryana - 131028 ,http://www.niftem.ac.in,130-2219759-63  ,info@niftem.ac.in,,,,
58,National University of Educational Planning & Administration,"17-B,Sri Aurobindo Marg,New Delhi-110 016    Delhi-  ",http://www.nuepa.org,26565600  26544800  ,,Professor R. Govinda,,,
59,Rashtriya Sanskrit Sansthana ,56-57 Institutional Area - Janakpuri  New Delhi-58    Delhi-  ,http://www.sanskrit.nic.in,+91-11-28524993  28520976  28520977,rsks@nda.vsnl.net.in,Prof. Radhavallabh Tripathi  ,,Dr. Binod Kumar Singh,28524995
60,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith,"B-4,qutub Institutional Area  New Delhi- 110 016    Delhi-  ",http://www.slbsrsv.ac.in,(91) 011- 46060606  (91)011- 46060606,email : info@slbsrsv.ac.in,Prof. Bhavendra Jha,011-46060604,Dr. BK Mohapatra,011-46060556/557
61,TERI School of Advanced studies,"Darbari Seth Block  Habitat- Place,Lodhi Rd  N.Delhi-110003    Delhi-  ",http://www.teriuniversity.ac.in,91 11 26122222  26139110  26139011  91 11 26122874,,,,,
62,Gujarat Vidyapith ,P.O. Navjeevan  Ashram Road Ahmedabad  PIN - 380 014. Gujarat   Gujarat -  ,http://www.gujaratvidyapith.org,079-27541148  079-27540746  079-40016200  ,,Dr. Sudarshan Iyengar,079-40016203, Dr. Rajendra Khimani,079-40016207
63,Sumandeep Vidyapeeth ,At.&Po.-Pipariya  Takula Waghodiya Dist.Vadodara   Gujarat - 391760 ,http://www.sumandeepvidyapeethdu.edu.in,(02668) 245262 / 64 / 66  ,info@sumandeepvidyapeethdu.edu.in,Dr.Rajesh P. Bharaney,02668-245262/66,Dr.Manoj M. Sattigeri,02668-245262/66
64,Maharishi Markandeshwar (Deemed to be University),Ambala – Yamunanagar Highway  Mullana  Ambala   Haryana - 133 207 ,http://www.mmumullana.org,"01731-274475,76,77,78,  +91-8059930001  02  03  04  05  06",info@mmumullana.org,Dr.Victor Gambhir,01731-304524,Dr.Sumit Mittal,01731-304440 
65,Lingaya's Vidyapeeth,"Nachauli  old Faridabad,Jasana Road Fridabad- 121002    Haryana -  ",http://www.limat.org,0866-2085299  2085353  96426 08881  96426 08882,,,,,
66,National Brain Research Centre ,"SCO 5,6 & 7 Sector-XV Part-II Gurgaon -122001 (Haryana)    Haryana -  ",http://www.nbrc.ac.in,0124 - 2338920 to 26  0124 - 2338910,info@brc.ac.in,,,Mr. K.V.S Kameswara Rao,"2338916,Ext-345"
67,National Dairy Research Institute,Karnal - 132 001. HARYANA     Haryana -  ,http://www.ndri.res.in,  ,,Dr. A.K. Srivastva,91-184-2252800 / 2259002,,
68,Manav Rachna International Institute of Research and Studies,5E/1A  Bungalow Plot  N.I.T. Faridabad-121001 Haryana   Haryana -  ,http://manavrachna.edu.in/,91 129 4198100 (30 Lines)  ,info@mriu.edu.in,Dr. N.C. Wadhwa,0129-4198375,Mr. K.C. Dadhwal,0129-4198306
69,Birla Institute of Technology,Mesra  Ranchi - 835 215. (JHARKHAND)    Jharkhand -  ,http://www.bitmesra.ac.in,91 651 2275444/2275896  ,,Dr. P.K. Barhai,2275402,Dr. A.P. Krishna,2276052
70,B.L.D.E. ,Bijapur Karantaka    Karnataka -  ,http://bldedu.ac.in/,"918352 262770,918352 262507  918352 260267,918352 264951",,Prof. M. S. Biradar,08352-263302,Dr. J. G. Ambekar,08352-262770
71,Christ ,Hosur Road Bangalore-560029 Karnataka   Karnataka -  ,http://www.christuniversity.in,"+91 80.4012.9100,+91.80.4012.9600  ",mail@christuniversity.in,Dr Fr Thomas C Mathew,,Dr Anil Joseph Pinto ,
72,Indian Institute of Science ,Bangalore - 560 012.     Karnataka -  ,http://www.iisc.ernet.in,"080-22932241,22932231  ",,Prof. P. Balaram,"91- 80 - 2360 0690,2293 2222",Mr. R.Mohan Das,91-80-23600757
73,International Institute of Information Technology,Bangalore  (IIIT-B) Karnataka No26/C  Electronics City  Hosur Rd. Bangalore   Karnataka - 560100 ,http://www.iiitb.ac.in,91 80 4140 7777 /2852 7627  91 80 28527636,ramachandra@iiitb.ac.in,"Prof. S Sadagopan,",080-41407761  8041407777,Commodore SR Sridhar (Retd),080-41407702  8041407777
74,Jain ,91/2 Dr.A.N. Krishna Rao Road V.V.Puram   Bangalore     Karnataka -  ,http://www.jainuniversity.ac.in,91 80 43431000  91 80 43431010,jainunversity@gamil.com,Dr. N.Sundararajan,080-27577255,Prof. N.V.H.Krishnan,080-27577256
75,JSS Academy of Higher Education & Research,JSS Medical Institution Campus  Sri Shivarathreeshwara Nagara  Mysore     Karnataka - 570015 ,www.jssuni.edu.in,0821-2548400/2548391/392  ,registrar@jssuni.edu.in,Dr. B.Suresh,0821-2548391,Dr. Mruthyunjaya P.Kulenur,0821-2548392
76,Jawahar lal Nehru Centre for Advanced Scientific Research,Jakkur P.O.  Bangalore-560064 (Kanataka)    Karnataka -  ,http://www.jncasr.ac.in,91-80-22082750  91-80-22082766,admin@jncasr.ac.in,Prof. M.R.S.Rao,080-23622762,Mr. A.N. Jayachandra,"080-23622763,22082751"
77,K.L.E. Academy of Higher Education and Research,J.N. Medical College Campus  Nehru Nagar  Belgaum-590010 Karnataka   Karnataka -  ,http://www.kleuniversity.edu.in,0831-2444444  ,info@kleuniversity.edu.in,Dr. CHANDRAKANT KOKATE,0831-2493780,Dr. P.F. Kotur,91-0831-2444444
78,Manipal Academy of Higher Education,manipal.edu.  Madhav Nagar Manipal-576119. KARNATAKA    Karnataka -  ,http://www.manipal.edu,0820-2571201  ,,Dr. H. Vinod Bhat,91 820 2922615,Dr. Narayana Sabhahit,91 820 2922323
79,National Institute of Mental Health & Neuro Sciences ,Bangalore - 560 029.     Karnataka -  ,http://www.nimhans.kar.nic.in,"080-26995000/5100,5200,5300,5400  26568120,8121,8122,8123,8124",virusravi@gmail.com,"Prof. B.N. Gangadhar ,Director",080-26995001/5002,Dr. V. Ravi,080-26995005
80,NITTE ,"University Enclave,Nedical Sciences complex  Post Nityananda Nagar  Deralakatte  Mangalore-575018   Karnataka - 575018 ",http://www.nitte.edu.in,91 - 824 - 2204300/01/02/03/04  0824-2204305  91 - 824 - 2204305,info@nitte.edu.in,Prof (Dr) S Ramananda Shetty,0824-2204404,Prof (Dr) M S Moodithaya,0824-2204308
81,Sri Devraj Urs Academy of Higher Education and Research ,"Post Box No.62,Tamaka Kolar-563101  Karnataka    Karnataka -  ",http://www.sduu.ac.in,  ,,Dr.S.Chandrashekar Shetty,08152-243242,Dr. A.V.Moidien Kutty,08152-210605  210604  243009
82,Sri Siddhartha Academy of Higher Education ,"Agalakote  B.H. Road,Tumkur-572107 Karnataka    Karnataka -  ",http://www.sahetumkur.ac.in,0816 2275516  0816-2278867 /2275514,info@sahe.in,Dr. K.A. Krishnamurthy,0816-2275524,Dr. M.Z. Kurian,0816 2275512
83,Swami Vivekananda Yoga Anusandhana Samsthana,No. 9 Appa Jappa Agrahara  Bangalore-560018    Karnataka -  ,http://www.vyasa.org,26608645/26612669  ,info@svyasa.org  svyasa@svyasa.org,Prof H R Nagendra,,,
84,Yenepoya ,Mangalore  Karnataka     Karnataka -  ,http://yenepoya.edu.in,0824-2204668/69/70  91 824 2204667,reachus@yenepoya.org,Dr. Vijayakumar M,0824-2204658,Dr.Gangadhara Somayaji K S,0824-2204668 / 0824-2203943
85,Kerala Kalamandalam ,"Vallathol Nagar Cheruthuruthy,P.O.,Thrissur Kerala-679531   Kerala -  ",http://www.kalamandalam.org,91+ 4884 262418  262526  91- 4884 - 262019,info@kalamandalam.org,Dr. J.Prasad,04884 263440,Dr. K.K.Sundaresan,04884 262562
86,Indian Institute of Space Science and Technology,Valiamala P.O.  Thiruvananthapuram    Kerala - 695547 ,http://www.iist.ac.in,"0471-2568422,2568452,2568453  0471-2568462",,Dr. Vinay Kumar Dadhwal,0471-2568402(Office),Dr. A Chandrasekar,0471 2568403
87,Indian Institute of Information Technology and Management,Gwalior-474004 (M.P.) Nh92  Morena Link Road.    Madhya Pradesh -  ,http://www.iiitm.ac.in,0751-2449704  0751-2449813,,Prof. S. G. Deshmukh,0751-2449801,Dr.Deleep Kumar,0751-2449816
88,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology,Technologhy  Design & Manufacturing IT Bhavan  Govt. Engineering College   Jabalpur   Madhya Pradesh   Madhya Pradesh -  ,http://www.iitk.ac.in,  ,,,,,
89,Lakshmibai National Institute of Physical Education ,Shaktinagar  Mela Road  Gwalior - 474002. M.P.   Madhya Pradesh -  ,http://www.lnipe.nic.in,91-751-4000984  ,nishikanttiwari@gmail.com,Gen. S.S.Pawar,0751-4000900,Dr. L.N. Sarkar,0751-4000902
90,Bharati Vidyapeeth,Lal Bahadur Shastri Marg  Pune     Maharashtra - 411030 ,http://bvuniversity.edu.in/,No: 020-24325701  24407100  24331317  ,bvuniversity@yahoo.co.in,Prof M M Salunkhe,"20-24327131(Direct),24407187/89",Mr G Jayakumar,020-24407273  24331317  24325701
91,Central Institute of Fisheries Education ,Andheri (W) Mumbai - 400 061    Maharashtra -  ,http://www.cife.edu.in,022-26363404  26361656  26345944  28614355  022- 26361573 /26348223,root@cife.bom.nic.in  fishinst@bom3.vsnl.net.in,Dr Dilip Kumar,,Shri Suresh Kumar,
92,D.Y Patil Educational Society,"869  E  D.Y.Patil Vidyanagar,Kasada Kolhapur-416006    Maharashtra -  ",http://www.dypatilunikop.org,(0231) 2601235/36  2601595  (0231) 2601238,"info@dypatilkolhapur.org,info@dypatilunikop.org",Prof. (Dr.) S.H.Pawar,0231-2601202,Shri V. V. Bhosale,0231-2601595
93,Datta Meghe Institute of Medical Sciences,Wardha- Yavatmal Road  Sawangi (Meghe) Wardha   Maharashtra - 442107 ,http://www.dmims.edu.in,07152-287701  07152-287706,medical_wda@sancharnet.in  info@dmimsu.com,Dr Rajiv M. Borle,0712-52-304515,Dr.A.J. Anjankar,07152-304511
94,Deccan College Postgraduate & Research Institute,Pune - 411 006.     Maharashtra -  ,http://www.deccancollegepune.ac.in,020-26692982  26691457  26615232  26683192  020-26692104,dakshina@pn2.vsnl.net.in,Prof V P Bhatta,"020-26513285,020-26513203",Shri N S Gawase,020-26513204  020-26513262
95,Dr. D.Y. Patil Vidyapeeth ,Pimpri  Pune    Maharashtra - 411018 ,http://www.dpu.edu.in,020-27805000  020-27805001,info@dpu.edu.in ,Dr. N. J. Pawar,020-27805011,Dr. A. N. Suryakar,020-27805058
96,Gokhale Institute of Politics & Economics ,Pune - 411 004.     Maharashtra -  ,http://www.gipe.ac.in,91-20-25650287/25679940/25654288/25661367  91-20-25652579,gipe@vsnl.com   gipelib@gipe.ac.in,Prof Arup Maharatna,,Dr R Nagarajan,
97,Homi Bhabha National Institute  Regd. Office,Knowledge Mgt. Group Bhabha Atomic Research  Centre Central Complex  Mumbai-85   Maharashtra - 400085 ,http://www.hbni.ac.in,  ,,,,,
98,Indira Gandhi Institute of Development Research ,"Goregaon East,Santosh Nagar Mumbai-400 065.    Maharashtra -  ",http://www.igidr.ac.in,022-28425747  28425337  022-28401336  28401346,postmaster@igidr.ac.in,Dr S.Mahendra Dev,022-28425747,Mr.Jai Mphan Pandit,"(022) 28421336/22,28421346"
99,Defence Institute of Advanced Technology,Girinagar  Pune     Maharashtra - 411 025 ,https://www.diat.ac.in,020-24304005  ,,Prof. Lalit Mohan Pathaik,020-24304001,Dr.R.Premkumar,020-24389657
100,International Institute for Population Sciences ,Deonar Mumbai - 400 088.    Maharashtra -  ,http://www.iipsindia.org,022-42372400  ,,DR. FAUJDAR RAM,91+22+2552062/25573943/42372400,DR. M.K. KULKARNI,"91+22+25563489,91+22+42372431"
101,Institute of Chemical Technology,NathalalParekh Marg  Matunga  Mumbai-400019 Maharashtra   Maharashtra -  ,http://www.ictmumbai.edu.in,91 22 33611001  91 22 33611111,director@ictmumbai.edu.in,Porf. G.D.Yadav,022-33611001,Prof. S.R.Shukla,022-33611016
102,Krishna Institute of Medical Sciences ,"Near Dhebewadi Road  malkapur  Tal.Karad,Distt. Satara,-415539 Maharashtra   Maharashtra -  ",http:/www. kimsuniversity.in,91-2164-241555-58  91-40-27840980,contact@kimsuniversity.in,Dr.Mrs.Neelima A.Malik,02164-243272,Dr.M.V.Ghorpade,02164-243273
103,MGM Institute of Health Sciences,"MGM Campus  Sector-18,Kamothe Maharashtra    Maharashtra -  ",http://www.mgmuhs.com,"022-27432471,27432994  ",registrar@mgmuhs.com,Dr Shashank D Dalvi,"022-27432471,27432994",Dr Rajesh B Goel,022-27432471/27432994
